,title,rating,content
0,Bhut mast hai order kr sakte ho,5,Best at this price  and best quality
1,Orginal,4,"Orginal, but speed much slower."
2,Fast and stylish,5,Good high speed pendrive. Works good.
3,Good and worth product👍,5,"Storage capacity is only 28Gb
And but I purchased at offer only 230rps"
4,Very good product,5,Very good product
5,Good,3,I received this as it is as. It also works good but sometimes it warms. Out of 64GB you get around 54 or 56GB
6,Good,4,Good product
7,Usb 3.2 with 626 kb/s speed,1,It is usb 3.2 but the speed is less than usb 2.0
8,Better,4,Till now no issue
9,"Product is good,but packing is bad",4,Geniun product...but packing is very bad
10,Very good product,4,Good
11,Good choice,4,Good choice for the price
12,Value for money,4,"The media could not be loaded.
                








I used to watch movies downloading videos in mobile then transfer those movies using type c otg into this pendrive the speed of moving video files is average 10 mbps.
But different file types takes different speed of transfer."
13,Nice one,4,Nice one
14,Nice,4,Nice
15,Good product,3,"Good quality pendrive from hp. Previously I have avoided using hp pendrive because they get corrupted after few time, this time I wanted to give another chance since I got it on sale , fingercrossed"
16,FABULOUS DEAL AMAZON !,5,"Got this pendrive at 232Rs. (32GB) and got the delivery 2 days before delivery day, i checked a product online and it was original so i was satisfied with product ; thankyou amazon."
17,Achi h,5,👌
18,Speed,5,Nice speed
19,Amazing this product,5,This product is perfect and not like dropping this colour.
20,Very very good product,5,Very very good product
21,LOVED IT,5,BEST PENDRIVE. YOU SHOULD GO FOR THIS AT ONCE
22,Value for money branded product.,4,Branded product to store long term back up.
23,Good,4,Easy to use
24,Genuine,4,This is 100 percent genuine
25,just ok,3,sometimes takes a long time to transfer
26,Nice,5,Nice one
27,Good,5,Nice one. Satisfied
28,Good,5,Happy
29,Good product,5,Nice and excellent services
30,"Less space got than I ordered, 57.7 instead of 64 gb",3,"Less space got than I ordered, 57.7 instead of 64 gb"
31,Good product,4,Nice product
32,Low speed,2,I thought it will be faster but it is slow as SanDisk 2.0. even slower I think . Don't buy. Trust me
33,USB 32 gb,4,Good product
34,Got 28.8GB of space,2,"Write speed is 5-8MBps and read speed is around 40MBps
There is 28.8GB of space"
35,Pendrive,5,Up to Mark.Worthful.
36,Slow Write Speed,2,very slow write speed . Read Speed is About 150MB/s its cheap for storage but not good for writing data
37,Good one,5,Very good product
38,Goid,4,Ok
39,Go for it,4,Decent performance .. Use it for regular work.. Non plastic ..
40,Good,4,Good
41,Low writing speed compare to other brands on same price,3,Low writing speed compare to other brands on same price. Big in size. Not easy to use. Plastic casing makes issue while inserting.
42,Don't buy for USB 3.2..,2,"I bought this flash drive because I needed a decent storage capacity and a fast transfer speed. I was attracted by the sleek design and the USB 3.2 specification. However, I was very disappointed by the actual performance of this product.
The write speed of this flash drive is only 10 MB/s, which is much slower than other devices in its class. It took me a long time to copy large files to this drive. The read speed is 100 MB/s, which is decent but not impressive. I expected more from a USB 3.2 device.
The plastic body of this flash drive feels cheap and fragile. It does not have a cap or a cover to protect the connector. The sliding mechanism is not smooth and sometimes gets stuck. The integrated key loop is too small and flimsy to attach to anything securely.
The only positive thing about this flash drive is that it's black color and a simple design. However, that does not make up for the poor performance and quality. I would not recommend this product to anyone who needs a fast and reliable flash drive.
A possible use for this drive is to create a multiboot USB drive or a software/APK repository for your system experiments. Only time will tell the reliability of this drive.
This flash drive is not worth the price and does not live up to the claims of the manufacturer. It is a waste of money and time. I regret buying it and I wish I could return it."
43,Very good product at this price range ....,4,Good product..... On product it mension that 70MB/s. Speed but it's work on 20-30 MB/s and it's sufficient. But it is good and worth it at this price...
44,Speedy delivery,5,Very efficient flah drive.
45,Best,5,Best
46,One of the Best  products on Amazon,5,"I love it,  the quality  , data transfer speed is pretty good ."
47,Average,4,Very slow data transfer
48,Good Product,5,Good Product
49,push type problem,2,"It is push to open type. Actually that kind of method is a failure methond. If the push grip won;t work , we can not use pendrive. I don't know why ithis typpe of pendrives are manufactured."
50,okay,4,cool as  usual you will get 54gb only out of  64 gb
51,Nice,5,It's a nice one
52,Very good,4,Nice product
53,Slow speed,2,The write speed on this is 20 MB/s
54,Nyc,4,Nyc work
55,Good ..value for money,4,value for money . Good product
56,Avarage product,2,The media could not be loaded.
57,Good,4,Received with good 👍
58,Dependable Performance and Unbeatable Value,5,"""Reliable and Affordable: HP 712w 64GB USB Drive""
The HP 712w 64GB USB 3.2 Gen Type A Pen Drive has been an exceptional choice for running my Live Debian OS. It impressively delivers seamless performance without any issues. The 64GB capacity, coupled with its robust build quality, ensures both reliability and affordability. Highly recommended for its steadfast performance and unbeatable value."
59,Genuine seller,5,Very good product and genuine products.5star for seller.....thanku signecom.
60,Good quality and value for money,4,Product was very good but not supporting television
61,Working fine,5,"It's good, may be other companies might give a better write speed but as with my experience, other brands pendrives produce a lot of heat and they gradually slow down after 1 or 2 min of write but hp goes with constant speed and completes fast on a large file than others"
62,Pendrive,5,Good pendrive for regular use 64gb with HP branding
63,Yery Good Quality,5,I think it is very affordable...and useful. It have a very good quality.
64,Don't buy this pen drive,1,It doesn't work in TV.
65,12.8 MB/s write speed,1,"12-16 MB/s writing speed only, 100 MB/s reading speed"
66,Size,1,Big Size
67,Ok,3,There is only 28.8 GB of storage
68,The file gets deleted automatically,1,"Any file, photo, video gets deleted automatically within 10-15 days and gets formatted automatically"
69,Copy protected,1,Stop working after some days and show copy protected
70,👉THANKS AMAZON👈,5,"💐Good quality, Good working & Beautiful nice product ..👍"
71,Ok ok product,3,Transfer speed is not so good.
72,Nice look,5,Good product...
73,Very good prodect,5,Nice prodect in HP. Reading and righting is speed is good. Thanks to hp.
74,Good one,5,Good one
75,Nice Item,5,Branded Item Works Behtareen
76,Not worth,1,It mentioned as usb 3.2 but write speed is paltry 13 MBPS. My other 5 year old usb 3.0 drive has 30MBPS write speed. Don't bother to buy this
77,Ultimate Product,5,"Best Quality Product, Value For Money"
78,Overall it's pretty good,5,"The price, the speed and the design for portability is good"
79,Good,5,Good
80,Value for money,5,"Got it at a good price so all good.
Doing it's work of storage."
81,Perfect,5,Value for money
82,Best,5,Speed is too good
83,USB,5,It is good.
84,Good product,5,Good quality and transfer speed
85,HP pendrive,5,This pendrive is very fast and quick writing speed. I like this pendrive
86,Superior usb drive,5,Great read and write speeds. Very happy with the purchase.
87,Good product,5,It gives 10 to 15 mbps consistently speed and also value for money
88,Good,5,Good
89,Very bad,1,"Purchased before 2 months only, today suddenly msg pop up that “ u need to format”.  I will suffer a lot if data lost. I m not formatting and just waiting for hp support"
90,Good,5,Excellent
91,Best product,5,Value for money
92,good,5,good
93,Good performance,5,
94,Not usb3.0,2,Average writing speed is nearly 10 on usb3.0 port on my laptop
95,Not worthy,2,It's dead slow in data transfer as like 2.0 pendrive.. i thought 3.2 would be great but expectations failed.. Not worthy
96,Not working,1,Not working my data loss how to recover
97,The pendrive got corrupted sooner than any other pendrive s,1,The pendrive got corrupted sooner than any other pendrives. There are people in my office who use pendrives in multiple PC's and their pendrives work fine. Somehow my new pendrive got corrupt sooner.
98,Not speed like usb 3.0,1,Speed are very slow
99,It's not usb3.2 it's simply 2.0,1,Better to go for local purchase or better options online
