,title,rating,content
0,Good. Comfortable,5,Very good and feels comfortable. One can buy without worrying. Best fits with t-shirt
1,Nice,4,Quality is good
2,Comfortable and Versatile Crop Top!,5,"I recently bought the Jockey Women's 1582 Super Combed Regular Cotton Elastane Stretch Slip-On Crop Top, and it's quickly become a favorite in my wardrobe. The cotton-elastane blend makes it super comfortable and stretchy, providing a snug fit without feeling tight. It’s perfect for lounging at home or wearing under sheer tops for extra coverage.
The slip-on design is convenient and the fabric feels soft against the skin. If you're looking for a versatile crop top that's both comfy and stylish, this one is a great choice!"
3,Good quality material but doesn’t fit properly,3,Good quality material but doesn’t fit properly
4,Comfortable,5,For running and zym purpose this one is best..choose size accordingly for best comfort
5,Good brand.,4,Good brand at a reasonable (discounted) price. Smug fit.
6,Not good,1,Not good
7,Very good,5,"Soft material,  go buy it"
8,Nice 👍 comfortable,4,Nice product 👍
9,NICE BRA,5,"This product is of high quality and performs well Of course, This product is of high quality and meets my needs effectively."
10,Image is deceptive it's not pack of 2,2,With two models displayed in the product image it reflects that it's a pack of two. However don't get fooled by the image. It's pack of 1. It's a standard practise to display multiple images to show multi pack. Seller should correct the image to show true nature of product content
11,Worthy,4,Worthy
12,Brand name hi kafi hai,3,Good quality and price is also best
13,Good product,4,It's nice & comfortable. Original product
14,Average,3,Over priced
15,Perfect fit and value for money,5,Great product.
16,Nice,5,It's as we thought
17,really like it,4,nice as expected
18,Love it 😍,4,I like this one.
19,comfortable and good product,4,good product
20,Good,4,Comfortable
21,Good,5,"Fitting is perfect, quality is also good"
22,GOOD,4,Good product
23,Comfortable,5,Very comfortable to wear
24,Good,5,Good
25,Nice fit,4,Fitment nice and comfortable
26,Good quality and prompt service,5,"Exactly what I ordered reached on time. Very nice and compact packaging. I didn’t expect that at this price I’ll get this premium quality product.
Would buy again. 👍👍👍"
27,Underwear,4,Great and feels comfortable
28,Okay kind of product.,4,"The elastic is little bit loose.
It is a okay kind of product."
29,Worst,1,Worst
30,It's not meant for support..The elastic band is too thin to support.,4,Ok
31,Received used product,1,
32,Packaging is not good,1,I like the product but not packaging
33,very small for size large,4,"im not a fat person (1,6m 58 kg) and i dont have a huge bust either. but i ordered size large because of the other reviws saying that the bra is smaller than its size. i should have actually ordered an xl because i still find it tight and it restricts my breathing. but i have to say that i didnt buy it specifically for sports, but that i bought it for every day wear. i will keep it hoping that the elastic strap that makes it so tight will eventually get looser. the colour is beautiful and the quality seems to be good too. its 97% cotton 3% spandex"
34,Price is high,3,"Product is ok, nice soft.
But price is higher"
35,Best Product,5,I would definitely recommend this product for daily use as it is quite comfortable to wear and the material used is also of very good quality.
36,It's good. Go for it as per your  needs from 'an inner' thing.,3,"It's  good... the cloth  material... also top or shirts goes well on this even outdoors. But.. I don't  know why it hurts my shoulders  after wearing for few hours.  Maybe it would be designed for yoga,  sports  thing... not for daily use would be the reson for this little  heaviness  on my shoulder. It would be best if designed in round shape from back..."
37,Jockey women's,4,"I purchased this to wear at home rather then wearing the tight ones. It's a good fit, soft, very comfortable however the material is a bit itchy, when I say bit - it means just at the beginning of wearing it for 2 - 3 times. It's better to wear such comfortable bras then the tight strap ones. It's not that expensive too."
38,Good product at this price,4,"Good product, but after reading the reviews i ordered 2 size larger, so i had to replace 1 of 2 bras, because i had used one for trial and i didn't want to return the used one. Go fir 1 size larger of your actual size otherwise bra is good for daily wear when have to stay at home all day"
39,Comfortable,5,Very comfortable
40,Comfortable for first experience,4,"This is a repeat purchase.
My daughter was introduced to life with bra, 7 months back. She did not have any issue with this. It was comfortable and fit perfectly well.
Rated 4 because I expect durability to be more than 7 months."
41,Order size as per the chart shared by others in review,3,"I got a different color than what I had ordered which isn't such a big issue for me but it doesn't provide much support. Material is soft and comfortable to wear at home but cant wear outside. So if you're looking for proper sport bra, this isn't one but if you're looking for something comfortable to wear at home instead of a bra, this is good."
42,Very bad,1,Use product given
